"connection_id","from_id","to_id","family","relationship_type","explanation","source_or_planning_basis","evidence_status","initial_audience_interpretation","later_interpretation","required_footage_or_research","spoiler_visibility"
"CX-001","ST-007","SEG-E100A","continuity","object continuity","A drum made on screen is one of the ten objects shown together in the room before the departure.","Production plan. The making is real; the object's later presence is arranged.","proposal","A craft episode with no apparent connection to anything.","The first of the ten objects the audience has already seen being made.","Mark and retain the specific instrument; film it again in the room sequence.","high"
"CX-002","ST-037","SEG-E100A","continuity","object continuity","A woven hana piece is among the ten objects.","Production plan, same as above.","proposal","An episode about the last weaving households.","The second object, and the one that dates the journey furthest back.","Acquire the piece honestly and at a fair price; record the transaction.","high"
"CX-003","ST-021","SEG-E100B","chronological","chronological continuation","The pilgrimage route is the spine of the underlying journey. Episode 100 Part B shows where Chathura joined it and where he left it.","Real annual event; the joining and leaving are production facts to be recorded as they happen.","proposal","A documentary about a two-month walk.","The walk that put him within reach of everything in seasons four to nine.","Log dates and positions on the route during filming.","high"
"CX-004","ST-045","SEG-E100A","continuity","revisited person or place","The Sri Pada trail is climbed once in season and once out of it. The empty climb belongs to Episode 100.","Two real shoots months apart.","proposal","An episode about the stallholders.","The same steps with nobody on them, immediately before the departure sequence.","A second, out-of-season ascent with the same lenses and route.","high"
"CX-005","ST-059","SEG-E100B","continuity","revisited person or place","The elephants released on screen are looked for again in the reconstruction.","Proposal for future filming. Post-release tracking by the Department of Wildlife Conservation is reported in sources seen only as search results; whether the same animals can be found again is unknown.","proposal","An episode about preparing orphans for release.","A return that may find them or may not, and either answer is the point.","Access to post-release monitoring data and a second visit.","medium"
"CX-006","ST-016","SEG-E100B","chronological","context revealed later","The cyclone of 28 November 2025 is the one hard dated marker the series has. Episode 100 uses it to sort the other episodes into before and after.","Proposal for how Episode 100 uses the date. The cyclone and the damage attributed to it are reported in sources seen only as search results.","proposal","An episode about recovery from a disaster.","The line that cuts the whole catalogue in two.","Consistent date logging on every shoot.","high"
"CX-007","ST-073","SEG-E100B","chronological","context revealed later","One cascade physically links two episodes filmed months apart and presented as unrelated places.","Proposal. Which cascade the other locations sit in has not been surveyed, so the physical link is not established.","proposal","An episode about restoring a tank system.","Two villages the audience met separately are on the same water.","Survey which cascade the other locations sit in before filming either.","medium"
"CX-008","ST-065","SEG-E100A","continuity","visual or sound echo","The ordinary-day footage of the line at Peraliya runs under the departure sequence.","Production plan.","proposal","An episode about a commemoration.","The same rails, without the ceremony and without the crowd.","Film the location on a non-anniversary day.","high"
"CX-009","ST-084","SEG-E100B","chronological","chronological continuation","The last episode of the public journey is revealed to have happened long before the audience was shown it.","Production plan resting on a real journey.","proposal","The series ending: a train to the end of a rebuilt line.","Not an ending at all, and not last.","Hold the terminus footage from public release until Episode 100.","high"
"CX-010","ST-016","ST-077","chronological","chronological continuation","The December 2025 floods are the damage the hill-line restoration episode is restoring.","Reported: both situations appear in the same published reporting, seen only as search results. The specific damage has not been confirmed with the operator.","source-reported","Two unrelated episodes in different seasons.","The second is a consequence of the first, and the audience saw them in the wrong order.","Confirm the specific damage with the operator or employer before claiming the link.","medium"
