"story_id","lead_id","working_title","premise","candidate_status","episode","season","position_in_season","territory","research_question","primary_idea","supporting_ideas","philosophical_mechanism","observable_basis","role_in_season","chronology_phase","chronology_confidence","calendar_constraint","continuity_role","connected_ids","episode_1_connection","episode_100_payoff","research_status","research_stage","sources_opened","sources_total","claim_review","subject_identified","consent_status","filming_access","access_status","main_missing_item","main_unresolved_dependency"
"ST-007","SL-SQ02-001","Two skins, two voices","Drum makers in settlements near Kandy, including Kuragandeniya in Menikhinna, hollow single blocks of wood and mount two different skins on geta bera and other drums for temples, schools and dancers, amid reported shortages of hides and suitable wood.","evidenced-situation","2","S01","1","T01","SQ02","C101-I02","C065-I01; C073-I03","Hearing the faint by starting with the loud - Fine listening can be built in graded steps. A listener starts with sounds that are already obvious, moves toward quieter and nearer ones, widens the field a little at a time, and settles again before telling one sound from another.","Interpretation, not a finding. Reported activity: Hollowing a single block of jak, kohomba, ehela or red sandalwood; preparing and mounting two different vellums so that the two heads sound against each other; tensioning; testing by ear.","Opens the season. Puts the season's question on the table: What decides what we actually see and hear? Also a proposed continuity anchor (rank 1). (Proposal.)","P3","seasonal","none","proposed continuity anchor (rank 1, object and sound)","SEG-E100A; ST-036; ST-061; ST-096","not applicable","object continuity (proposal): A drum made on screen is one of the ten objects shown together in the room before the departure.","in research","Source found through search","0","3","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 3 opened)","Whether the hide shortage is a legal supply question, a wildlife-protection question or a price question. The sources name the shortage but not its cause."
"ST-002","SL-SQ01-002","What the rope is made of","In coastal villages of Kalutara where coir craft is documented, the story asks whether fibre is still retted, spun and twisted into rope by hand, and by whom, or whether the work has moved entirely to mills.","evidenced-situation","3","S01","2","T01","SQ01","C040-I01","C009-I01; C032-I02","Not everything that reaches us gets noticed - Things that reach the senses are processed to very different depths. A vivid thing sets off a full response, while a faint one may only stir the mind and leave nothing behind.","Interpretation, not a finding. Reported activity: Retting, beating and cleaning fibre, spinning yarn, twisting rope, drying yards; the difference between hand work and mill work in the same district.","Develops the season's contrast. (Proposal.)","P1","unconstrained","none","standalone","ST-062","not applicable","not applicable","in research","Source found through search","0","3","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 3 opened)","Whether hand rope-twisting still happens in these villages or has moved entirely to mills. Not established. Employment figures come from mixed regional sources and must not be attributed to one village."
"ST-001","SL-SQ01-001","The hand the audience does not watch","String-puppet families of the Gamwari lineage in Ambalangoda, Balapitiya and Mirissa make their own puppets and handwritten scripts for Rukada Natya, a UNESCO-inscribed tradition reported to be at risk as younger people move away from it.","evidenced-situation","4","S01","3","T01","SQ01","C009-I01","C040-I01; C073-I03","Most of what meets the eye goes unseen - Countless sights reach the eyes, but only those the mind turns toward are actually seen. Seeing depends on attention as much as on eyes and light.","Interpretation, not a finding. Reported activity: Carving and stringing puppets; writing and reciting scripts; a small band; a performance where the audience watches the figure and not the hands above it.","Develops the season's contrast. (Proposal.)","P2","fixed-date","Performances traditionally at temples in May and June.","standalone","ST-006","not applicable","not applicable","in research","Source found through search","1","3","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (1 of 3 opened)","How many Gamwari families still perform, and whether any performance is scheduled in the coming May-June window. Not established."
"ST-008","SL-SQ02-002","Cut with a thumbnail","Laksha workers apply lac resin to turned wood and, in the niyapoten veda technique, sever it with the thumbnail; published accounts describe a handful of remaining artisans at Hapuwida in Matale, but how many still use it is not established.","evidenced-situation","5","S01","4","T01","SQ02","C065-I01","C073-I03; C100-I02","Feeling what you reached for - When we touch something, several qualities meet the skin at once, but we register only one. Which one depends on what we were expecting and on our own body, which is the measure against which hot and cold are felt.","Interpretation, not a finding. Reported activity: Breeding and collecting the lac resin, washing, drying and filtering it; heating; laying colour on a turning piece; severing with the thumbnail; polishing.","Develops the season's contrast. (Proposal.)","P3","unconstrained","none","standalone","none","not applicable","not applicable","in research","Source found through search","0","3","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 3 opened)","How many artisans at Hapuwida still work niyapoten veda rather than brush or spray finishing. Not established."
"ST-003","SL-SQ01-003","The slow way between two towns","The Hamilton canal, completed in 1802 from the Kelani river to Negombo partly to drain the Muthurajawela wetland, has stretches carrying small boat tours alongside fishing, though the available sources do not describe who uses it or lives on its banks today.","evidenced-situation","6","S01","5","T01","SQ01","C008-I01","C013-I01; C014-I02; C047-I01","When hurry leaves nothing fully taken in - An agitated mind, pulled by sudden demands or many tasks at once, may be unable to stay with anything long enough to take it in, so that even good or bad things register flatly.","Interpretation, not a finding. Reported activity: A boat moving at walking pace beside a main road, fishing in the canal, and the wetland it drains.","Develops the season's contrast. (Proposal.)","P1","unconstrained","none","standalone","ST-084","not applicable","not applicable","in research","Source found through search","0","2","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 2 opened)","Whether any cargo still moves on the canal, and who lives on its banks. The sources are heritage and tourism accounts and none describes present-day users."
"ST-004","SL-SQ01-004","Counting a flock one bird at a time","Bird ringers and counters work the migratory season in the Bundala and Kumana wetlands, building a record one bird at a time through a national ringing programme launched at Bundala in 2005, with sessions reportedly held in December and February.","evidenced-situation","7","S01","6","T01","SQ01","C003-I01","C013-I01; C009-I01; C089-I02","Many things at once, one thing at a time - The feeling of seeing, hearing, moving and talking all at the same moment may be many single acts of noticing following each other very quickly. The sense of one smooth, continuous mind is itself something that is produced.","Interpretation, not a finding. Reported activity: Mist netting and ringing at dawn, the count itself, and the lagoons filling and emptying with the season.","Develops the season's contrast. (Proposal.)","P2","fixed-date","Migratory season September to March; ringing in December and February.","standalone","none","not applicable","not applicable","in research","Source found through search","0","4","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 4 opened)","Whether a ringing session falls within a filming window, and what the twenty-year data actually shows about numbers. Not established."
"ST-006","SL-SQ01-006","The looking is what wears it away","At Sigiriya, conservators and wardens look after frescoes that published accounts describe as the site's most fragile element, with concerns including microbiological growth and vibration from the footfall of the visitors who come to see them.","evidenced-situation","8","S01","7","T01","SQ01","C009-I01","C013-I01; C040-I01; C027-I01","Most of what meets the eye goes unseen - Countless sights reach the eyes, but only those the mind turns toward are actually seen. Seeing depends on attention as much as on eyes and light.","Interpretation, not a finding. Reported activity: The climb, the queue at the fresco gallery, the wardens enforcing the no-photography rule, and conservation monitoring.","Closes the season. Carries the shift: Attention is an act with a cost, and it selects. (Proposal.)","P6","seasonal","none","standalone","ST-001; ST-025","not applicable","not applicable","in research","Source found through search","0","3","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 3 opened)","Visitor numbers, and whether any cap is under consideration. Not established. The conservation claims come partly from guide sources and should be confirmed with the Central Cultural Fund."
"ST-018","SL-SQ03-007","The tune before the bread","Across the country, choon paan vendors reportedly leave bakeries before dawn to drive fixed routes in converted three-wheelers and vans, selling bread and short eats to households that come out when they hear the vendor's recurring tune.","evidenced-situation","9","S02","1","T02","SQ03","C046-I01","C101-I02; C011-I02; C040-I01","Reacting to what we recognise, not what we see - Liking, trust, irritation or confusion attach not to the bare sight of something but to what the mind has recognised it as.","Interpretation, not a finding. Reported activity: Loading at the bakery before dawn, the route itself, the doors that open when the tune is heard, and the end of the round.","Opens the season. Puts the season's question on the table: When does recognising something become deciding what it is? (Proposal.)","P7","unconstrained","none","standalone","none","not applicable","not applicable","in research","Source found through search","0","3","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 3 opened)","What a vendor earns on a round, and whether the vehicle and stock are owned or taken on credit from a bakery. Not established, and it decides whether this is a small business or piece work."
"ST-005","SL-SQ01-005","He points, and you see nothing","At Sinharaja, a UNESCO World Heritage site, published accounts say every group entering from the two principal entrances must take a guide from a neighbouring village, trained by the Forest Department in what have become sought-after positions.","evidenced-situation","10","S02","2","T02","SQ01","C034-I01","C013-I01; C009-I01; C097-I02","Seeing before knowing what you see - Registering something is not the same as recognising it. Knowing what a thing is, and whether it is welcome, is built up after the first contact.","Interpretation, not a finding. Reported activity: A walk into the forest with a guide who sees what visitors cannot, the home gardens of the buffer zone, and the training that turned forest knowledge into a licensed job.","Develops the season's contrast. (Proposal.)","P3","seasonal","Sinharaja is wettest in the inter-monsoon months.","standalone","none","not applicable","not applicable","in research","Source found through search","0","4","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 4 opened)","How many guides there are, what they earn, and how the positions are allocated. Not established, and allocation of a scarce licensed job in a small village is exactly where the interesting material would be."
"ST-012","SL-SQ03-001","Deciding which way a rough stone faces","Published accounts report that gem cutters in Ratnapura lapidary shops use the bow-driven hanaporuwa alongside modern Sri Lankan-made machines, and that the traditional method is still prized for cabochon cutting of star sapphires.","evidenced-situation","11","S02","3","T02","SQ03","C020-I02","C013-I01; C073-I03","Seeing only one side of something at once - Anything we attend to has many aspects, but a single moment of attention can settle on only one of them. What a thing seems to be depends partly on which aspect the mind has settled on.","Interpretation, not a finding. Reported activity: Orienting a rough stone, dopping, cutting against the lap, the bow's back-and-forth motion, and the moment a star appears or does not.","Develops the season's contrast. (Proposal.)","P3","unconstrained","none","standalone","none","not applicable","not applicable","in research","Source found through search","0","3","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 3 opened)","Whether a working cutter will let the orientation decision be filmed. It is the commercially sensitive moment in the trade, and refusal is likely."
