"idea_id","idea_title","tier","territory","primary_story_ids","supporting_story_ids","use","how_the_uses_differ","unused_or_deferred","repetition_or_interpretation_concern"
"C001-I01","When a whole is only its parts arranged","Tier A","T13","ST-075","ST-078; ST-083; ST-086; ST-073; ST-074; ST-080; ST-076","primary and supporting","Single use as primary.","in use","none"
"C001-I02","Learning for a title instead of for change","Tier B","T06","ST-041","ST-044","primary and supporting","Single use as primary.","in use","none"
"C001-I03","Making room for an inner life within a crowded day","Tier B","T10","none","ST-009; ST-024; ST-027; ST-010; ST-064","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C003-I01","Many things at once, one thing at a time","Tier C","T01","ST-004","none","primary","Single use as primary.","in use"," Tier C card leading an episode: the matrix rates it as a supporting lens, so the episode must stand on its situation, not on the idea."
"C003-I02","When a tired body makes every act need pushing","Tier A","T05","ST-026; ST-029","ST-011; ST-035; ST-042; ST-080","primary and supporting","ST-026 is about the daily climb of a palmyrah tapper in the north, where the sources record the physical risk driving young people away. ST-029 is about a rubber tapper's pre-dawn start in the south-west, where the sources record wages and status driving them away. The body is the site in both, but the pressure on it is different and so is the region and the crop.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea."
"C004-I01","Great learning that does not reveal the harm","Tier B","T09","none","none","not used","not applicable","not used; kept visible and available","none"
"C005-I01","Same act, different reason","Tier B","T07","ST-045","ST-052; ST-050; ST-049; ST-046; ST-053","primary and supporting","Single use as primary.","in use","none"
"C005-I02","Love that is also holding on","Tier A","T10","none","ST-047; ST-059; ST-060","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C005-I03","Feeding others for the joy of watching them","Tier B","T07","ST-050","ST-045","primary and supporting","Single use as primary.","in use","none"
"C006-I01","Knowing the cost and still wanting it","Tier B","T04","ST-022","none","primary","Single use as primary.","in use","none"
"C006-I02","The belief that makes taking seem fair","Tier B","T09","ST-091","ST-014","primary and supporting","Single use as primary.","in use","none"
"C006-I03","Needing a push to do what you already want","Tier B","T05","none","none","not used","not applicable","not used; kept visible and available","none"
